State,District,Murder,Attempt_to_commit_Murder,Rape,Kidnapping_Abduction,Robbery,Burglary,Theft,Riots,Cheating,Hurt,Dowry_Deaths,Assault_on_Women,Sexual_Harassment,Stalking,Death_by_Negligence,Extortion,Incidence_of_Rash_Driving,Total
Madhya Pradesh,Ashok Nagar,29,30,76,67,15,123,125,26,11,263,12,171,33,5,100,0,360,1446
Madhya Pradesh,Balaghat,60,23,131,187,16,144,136,41,40,23,12,178,89,21,152,5,568,1826
Madhya Pradesh,Barwani,44,19,68,27,7,112,222,16,7,34,4,92,24,5,154,0,821,1656
Madhya Pradesh,Betul,63,53,164,191,19,231,339,2,40,40,9,417,100,51,191,2,884,2796
Madhya Pradesh,Bhind,62,126,78,106,92,204,418,0,51,1247,30,142,0,0,215,0,0,2771
Madhya Pradesh,Bhopal,83,117,223,366,113,1041,3010,62,190,327,20,343,343,0,234,0,3260,9732
Madhya Pradesh,Bhopal Railway,4,4,3,25,20,6,1670,4,5,1,0,19,19,0,0,0,0,1780
Madhya Pradesh,Burhanpur,20,20,46,24,5,58,121,8,21,47,5,90,32,14,73,0,371,955
Madhya Pradesh,Chhatarpur,44,48,78,181,35,197,217,28,35,308,22,232,232,0,182,0,0,1839
Madhya Pradesh,Chhindwara,73,43,205,231,13,245,289,42,48,2024,9,241,241,0,300,0,1226,5230
Madhya Pradesh,Damoh,33,48,46,109,11,89,112,10,16,107,31,137,0,0,119,0,394,1262
Madhya Pradesh,Datia,42,47,34,71,48,76,145,17,23,74,14,88,0,0,86,0,9,774
Madhya Pradesh,Dewas,64,55,121,88,14,194,511,48,43,94,10,216,61,35,187,1,1307,3049
Madhya Pradesh,Dhar,51,43,138,341,76,261,857,65,38,493,15,244,244,0,337,0,1879,5082
Madhya Pradesh,Dindori,24,12,91,75,5,65,83,11,14,7,4,162,0,0,73,0,421,1047
Madhya Pradesh,Guna,46,51,123,173,34,155,409,52,31,500,12,168,1,1,160,2,574,2492
Madhya Pradesh,Gwalior,78,137,158,233,99,641,1821,108,143,66,36,364,52,32,228,28,1915,6139
Madhya Pradesh,Harda,12,14,47,79,8,52,80,10,6,44,5,82,40,6,80,1,251,817
Madhya Pradesh,Hoshangabad,59,65,102,110,42,227,416,38,26,110,6,183,21,11,136,0,810,2362
Madhya Pradesh,Indore,115,220,261,507,317,1588,6530,75,177,139,37,411,127,39,629,1,5344,16517
Madhya Pradesh,Indore Railway,1,0,4,5,4,5,434,0,0,0,0,9,0,0,0,0,0,462
Madhya Pradesh,Jabalpur,92,151,194,517,137,580,1025,58,115,137,34,374,0,0,322,11,2839,6586
Madhya Pradesh,Jabalpur Railway,3,2,4,15,37,4,909,1,1,3,0,21,7,0,1,0,8,1016
Madhya Pradesh,Jhabua,33,13,52,102,45,116,196,29,29,122,0,98,0,0,92,0,758,1685
Madhya Pradesh,Katni,35,24,93,192,15,174,161,6,35,153,18,178,54,2,271,4,330,1745
Madhya Pradesh,Khandwa,31,33,84,127,17,312,357,39,53,49,6,270,254,15,122,6,578,2353
Madhya Pradesh,Khargone,42,29,118,126,18,195,425,23,27,125,43,247,0,0,310,2,104,1834
Madhya Pradesh,Mandla,36,15,64,141,5,72,57,6,22,248,6,99,0,0,97,4,38,910
Madhya Pradesh,Mandsaur,30,65,90,140,9,199,368,25,39,103,5,183,0,0,125,0,669,2050
Madhya Pradesh,Morena,43,47,43,120,69,158,503,101,14,308,30,131,0,2,199,0,845,2613
Madhya Pradesh,Narsinghpur,40,30,113,87,7,122,145,21,25,1675,20,165,0,0,182,0,0,2632
Madhya Pradesh,Neemuch,8,18,47,41,9,79,250,17,17,56,3,88,22,2,142,0,466,1265
Madhya Pradesh,Panna,29,12,41,145,14,95,73,1,11,205,10,84,0,0,75,0,0,795
Madhya Pradesh,Raisen,46,52,161,90,21,109,340,0,20,119,5,225,74,11,256,0,554,2083
Madhya Pradesh,Rajgarh,28,32,94,112,24,160,363,41,24,96,5,235,0,0,130,7,789,2140
Madhya Pradesh,Ratlam,36,53,69,172,31,148,339,38,35,230,5,151,0,0,155,0,908,2370
Madhya Pradesh,Rewa,73,35,110,272,97,641,562,44,19,139,36,169,17,2,214,8,177,2615
Madhya Pradesh,Sagar,75,61,126,214,23,264,439,85,28,307,35,405,110,24,275,2,1169,3642
Madhya Pradesh,Satna,69,63,187,451,67,379,495,68,37,649,30,254,254,0,370,0,0,3373
Madhya Pradesh,Seoni,29,11,83,155,5,114,181,19,41,77,9,137,69,12,142,2,662,1748
Madhya Pradesh,Shahdol,36,24,122,200,32,277,334,21,39,92,16,272,68,50,114,0,619,2316
Madhya Pradesh,Shajapur,20,25,68,47,15,141,314,21,13,99,7,139,113,9,110,0,455,1596
Madhya Pradesh,Sheopur,18,15,23,36,6,47,92,12,11,72,5,57,10,6,40,3,160,613
Madhya Pradesh,Shivpuri,55,55,101,172,52,207,389,0,54,230,11,269,69,8,210,0,872,2754
Madhya Pradesh,Sidhi,31,10,40,100,21,116,107,13,21,54,14,100,29,0,100,3,570,1329
Madhya Pradesh,Sehore,33,46,124,149,21,267,472,39,25,61,12,162,21,0,202,8,1074,2716
Madhya Pradesh,Singrauli,42,29,88,114,15,147,231,32,10,88,17,97,47,5,118,0,389,1469
Madhya Pradesh,Tikamgarh,36,25,92,79,25,165,128,35,17,196,15,133,21,4,121,1,507,1600
